,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-02-10,642.10063779,649.96951815,634.20927491,645.51798012,15395588.30225428,2140.8999,2167.0,2119.0,2161.95,2383032.0,621.475,621.475,613.025,620.15,9219834.0
2020-02-11,650.82385374,659.2772795,649.76717552,653.22948288,14233827.72439575,2163.0,2174.8,2147.6001,2153.3999,1335820.0,621.65,627.5,619.025,620.3,11613520.0
2020-02-12,654.75829392,663.16675465,654.24119607,661.12084576,13759783.79095791,2151.1001,2185.0,2150.0,2170.75,1620407.0,622.6,626.45,622.025,624.5,6297930.0
2020-02-13,664.47074054,664.47074054,657.6585384,662.85199944,13792413.59190652,2172.95,2197.0,2171.0,2191.95,1645948.0,629.95,629.95,616.8,620.7,9112140.0
2020-02-14,664.24591539,675.12745281,653.38686048,668.89979606,21582671.81876566,2188.0,2212.0,2171.0,2184.2,1500115.0,621.6,624.2,607.5,609.675,14688858.0
2020-02-17,669.52930649,677.24080925,662.91944698,664.69556569,13368922.2760643,2196.95,2217.0,2190.2,2203.25,1774724.0,612.5,616.5,607.225,608.575,10152690.0
2020-02-18,663.63888747,663.63888747,655.3203568,659.81685987,11313155.85828403,2199.95,2221.0,2186.05,2215.75,2486223.0,608.45,609.25,601.75,606.625,10529116.0
2020-02-19,665.19018103,677.37570434,663.27916723,676.18413103,14319834.56000682,2215.75,2230.0,2190.5,2196.3501,1760463.0,611.25,615.0,606.95,613.6,10012268.0
2020-02-20,673.12650894,678.07266231,667.19112489,668.15787305,17174628.56599723,2204.5,2214.3999,2151.25,2156.8,2317278.0,615.0,615.0,607.05,608.55,11123414.0
2020-02-24,660.87353809,664.13350281,647.29409883,649.72221048,21727424.30541664,2156.0,2178.95,2106.7,2115.3501,3092877.0,604.475,607.375,600.0,604.975,16568084.0
2020-02-25,652.62245496,652.62245496,634.00693227,636.88469423,28208829.87189673,2115.5,2176.6499,2111.0,2156.1499,2674567.0,602.0,604.5,599.0,600.15,13886680.0
2020-02-26,634.00693227,635.06361049,623.82235283,625.91322675,29853556.87238378,2154.0,2163.8999,2112.95,2123.6001,2686842.0,598.75,602.35,592.825,599.625,13814786.0
2020-02-27,624.11462553,626.7225973,615.5712697,623.32773749,25473795.59744138,2119.95,2119.95,2086.2,2105.5,2349001.0,597.5,601.25,590.5,599.725,20655098.0
2020-02-28,609.23120038,610.17546602,595.78665621,597.42787983,39972945.05798565,2068.0,2069.5,1990.0,2000.15,4298076.0,587.75,592.5,585.05,588.825,24313056.0
2020-03-02,609.32113044,615.5712697,585.04001388,591.807251,29993605.70384076,2035.0,2053.95,1985.7,2001.3,2667076.0,600.1,600.575,583.075,589.8,14664898.0
2020-03-03,597.90001265,608.78155007,594.43770529,603.81291418,27856778.51624208,2020.0,2060.0,2012.0,2036.2,2757585.0,587.5,592.675,584.0,590.9,22369550.0
2020-03-04,607.92721449,608.73658504,588.09763597,602.39651572,22474758.38945221,2056.0,2094.45,2025.0,2083.2,3237002.0,589.175,590.0,566.55,574.425,34288870.0
2020-03-05,608.01714455,610.60263381,587.24330039,589.55899946,31020381.38540862,2085.7,2147.75,2084.05,2125.05,3937056.0,576.5,582.5,571.375,575.675,19549708.0
2020-03-06,571.05588935,579.21704241,558.06099549,571.50553966,34297915.0119904,2098.0,2123.6499,2071.6001,2116.45,2595027.0,562.5,570.45,550.5,567.45,23053566.0
2020-03-09,557.58886267,558.01603046,492.3670857,500.97788907,89664807.09680094,2075.0,2079.8999,1935.0,1972.35,4940982.0,555.0,559.2,532.5,553.65,34420594.0
2020-03-11,498.21253968,529.89040378,498.21253968,518.69411115,60575132.72372389,1933.0,1987.3,1920.0,1953.7,6796752.0,552.5,560.0,546.0,556.9,35538396.0
2020-03-12,487.87058263,495.06498754,471.5482765,477.97827589,56906822.09236546,1904.0,1908.4,1758.35,1769.85,8728972.0,537.5,540.0,501.725,510.65,59000812.0
2020-03-13,448.75100596,512.60134949,423.75045791,496.99848386,74524039.03668758,1687.9,1820.0,1506.05,1806.3,8029725.0,490.025,540.725,459.6,534.9,66343206.0
2020-03-16,476.87663264,485.48743601,451.89855811,456.70981639,39129805.41267246,1755.0,1842.25,1675.85,1696.4,7844420.0,517.5,518.5,497.5,499.75,31986348.0
2020-03-17,470.89628356,476.62932497,451.08918756,453.24750903,46208001.40957489,1730.0,1731.0,1623.15,1658.0,5713269.0,504.0,505.0,477.35,487.55,42677282.0
2020-03-18,461.02645933,465.79275258,432.11394462,435.48632192,45480891.93089829,1676.8,1713.55,1627.75,1654.4,7259111.0,492.5,496.5,432.5,438.45,61187618.0
2020-03-19,413.72323809,434.81184646,401.17800802,412.64409084,62430874.81441045,1559.7,1685.45,1546.75,1636.35,5135162.0,423.5,459.975,397.5,447.775,67220478.0
2020-03-20,422.44646303,465.34310227,418.17478511,457.72152958,64422342.37688631,1630.0,1869.0,1627.0,1797.45,8547645.0,437.5,457.3,412.275,441.425,88638030.0
2020-03-23,411.96961538,427.16779125,393.73629994,397.51334903,41351496.32535278,1620.0,1750.0,1617.75,1669.7,7003558.0,397.3,419.375,382.5,385.775,50284546.0
2020-03-24,418.17478511,436.16079738,402.79674013,424.20010822,46523535.49890074,1653.05,1770.0,1632.85,1703.15,6354209.0,397.625,405.0,369.375,383.85,61057352.0
2020-03-25,433.37296098,517.79481054,433.12565781,486.63404429,74353615.4900346,1700.0,1810.0,1680.0,1750.3,2765527.0,385.225,433.725,377.625,428.375,47228898.0
2020-03-26,492.72680594,502.21442741,468.69299706,479.41715687,46509328.90344956,1831.6,1832.05,1722.55,1790.95,4556071.0,435.05,468.85,420.5,450.55,57043362.0
2020-03-27,492.3670857,497.89778447,470.42415074,479.14736669,42354344.52406855,1820.0,1850.0,1750.4,1824.5,4331310.0,472.475,494.325,436.05,452.225,55238872.0
2020-03-30,467.90610902,483.28414951,458.64331271,463.34215841,30735631.21816094,1766.0,1905.0,1763.55,1778.5,8513608.0,440.0,443.5,414.0,415.825,39268626.0
2020-03-31,482.90194675,508.01491637,471.23352129,500.79802895,45034794.15876908,1837.4,1855.0,1780.0,1826.1,3927593.0,426.9,436.8,419.0,430.95,35211994.0
2020-04-01,504.62005655,505.67673477,469.97450043,485.82467374,42293085.80902429,1825.9,1834.75,1702.0,1708.75,4941898.0,431.925,431.925,410.0,414.825,29103516.0
2020-04-03,510.10579029,510.10579029,474.96561883,484.47572282,42059448.6948847,1740.0,1740.0,1650.0,1654.2,5735529.0,421.5,422.0,405.0,406.925,34998126.0
2020-04-07,495.55960288,545.87547218,494.61533723,542.32323476,55285310.91058767,1710.0,1785.85,1705.0,1775.2,5427965.0,437.0,453.65,422.675,448.05,60413252.0
2020-04-08,530.58736176,552.62022678,521.59435563,536.05061298,50714463.36539538,1760.0,1806.0,1701.0,1705.45,6285616.0,439.975,472.5,433.05,444.45,56219754.0
2020-04-09,545.87547218,554.32889794,536.43281574,548.55089151,33585456.91885424,1750.45,1778.8,1731.2,1766.15,5307649.0,456.5,465.45,445.0,462.525,44458024.0
2020-04-13,541.3564866,546.32512249,530.58736176,534.70166206,24069528.79106327,1761.0,1787.0,1746.0,1759.25,2990478.0,467.0,473.35,443.1,447.675,34158518.0
2020-04-15,538.25389948,555.76777893,513.95030041,517.03040501,35912260.6254301,1785.0,1812.0,1727.8,1735.15,4761401.0,465.25,465.25,421.5,431.65,57979046.0
2020-04-16,517.03040501,533.93725654,514.84960103,525.21404059,38081888.85816174,1709.95,1764.9,1675.05,1716.05,6245583.0,432.5,445.35,428.125,439.875,53854462.0
2020-04-17,546.77477279,553.06987709,536.27543814,550.37197525,33825634.67125651,1800.0,1851.95,1753.0,1806.2,9895825.0,457.5,460.0,443.625,455.15,55883662.0
2020-04-20,551.27127586,565.21043536,540.4796685,559.27505132,36633665.67121186,1830.0,1830.0,1802.5,1818.65,3244293.0,475.5,480.475,467.5,472.425,66233228.0
2020-04-21,544.07687095,562.96218383,523.39295685,556.37480684,62398947.78180287,1765.0,1794.6,1727.7,1737.65,5122606.0,462.5,467.0,454.0,460.825,33178296.0
2020-04-22,593.53840468,622.72070957,584.54539855,613.14315804,145070275.8260536,1737.65,1790.0,1719.15,1769.5,3829839.0,459.575,466.5,453.65,464.3,38289356.0
2020-04-23,614.82934669,623.14787737,608.51175989,616.42560528,66559125.08547606,1780.0,1900.0,1760.85,1878.25,5934424.0,467.5,479.25,456.275,477.475,40901790.0
2020-04-24,607.09536142,672.20472581,605.76889302,637.15448442,137243068.88647905,1840.7,1851.95,1807.8,1818.55,2987150.0,466.5,479.2,463.0,469.025,33285662.0
2020-04-27,644.79853963,663.2342022,639.85238626,642.88752582,59460677.79580933,1832.3,1875.0,1825.0,1836.6,3374747.0,472.575,478.7,463.15,464.85,27421454.0
2020-04-28,651.99294453,654.4435387,625.9806743,642.16808533,79765054.03332856,1865.0,1868.0,1832.6,1859.05,2678512.0,471.9,471.9,461.0,465.7,29441546.0
2020-04-29,649.69972797,653.63416815,638.50343534,641.62850497,38121935.53384889,1874.0,1912.55,1850.05,1905.65,4241579.0,467.5,496.35,467.05,488.55,55878038.0
2020-04-30,653.76906324,672.20472581,646.61962337,659.18734944,72540595.4874221,1980.0,2032.0,1942.2,2014.45,5915950.0,500.7,509.5,496.05,500.9,43795286.0
2020-05-04,647.49644147,658.73769913,637.35682705,645.33812,54351658.70605914,1966.0,1966.0,1913.65,1930.45,3729409.0,478.75,480.0,458.75,461.5,26722354.0
2020-05-05,653.65665067,665.03280342,650.73392367,656.7817203,45654824.87135562,1955.1,1977.0,1927.0,1932.75,2905541.0,469.0,472.0,454.025,455.725,29674380.0
2020-05-06,658.28804882,667.70822275,649.96951815,656.82668533,41165998.84257455,1939.8,1953.7,1893.6,1903.6,3517432.0,459.5,475.0,452.825,473.2,33786280.0
2020-05-07,654.24119607,680.61318655,649.744693,677.60052949,50865147.12788672,1910.0,1934.45,1883.35,1891.65,3166784.0,470.25,471.65,460.675,462.5,21832006.0
2020-05-08,694.70972366,710.40251936,691.15748624,702.26384881,85671875.31459294,1939.1,1939.5,1886.25,1893.4,2686536.0,471.0,471.975,462.6,464.525,20807494.0
2020-05-11,710.44748439,726.18524512,706.98517703,709.00860341,68209458.66503835,1909.0,1951.4,1909.0,1935.3,2449846.0,468.5,477.0,457.0,457.9,28550784.0
2020-05-12,703.61279973,705.20905832,658.73769913,665.145216,102366479.74440216,1933.4,1956.5,1910.25,1949.5,3256630.0,450.5,454.7,435.55,450.775,49568648.0
2020-05-13,693.15034652,693.15034652,660.01349302,679.28280029,67539234.61515126,1994.0,1994.0,1925.65,1949.65,2656665.0,475.5,480.0,461.05,463.825,44347108.0
2020-05-14,666.82243552,679.39628267,649.14188149,651.82006554,50088645.9228473,1910.0,1923.1,1891.1,1902.35,2263204.0,449.0,455.5,445.0,446.85,39554890.0
2020-05-15,655.47419802,665.77839767,642.35563547,662.46471232,63189178.05361265,1916.0,1917.4,1865.2,1892.9,3173682.0,445.25,446.2,437.5,444.075,24349740.0
2020-05-18,667.27636502,672.72351902,648.21132602,653.99892714,63846081.82389546,1907.0,1952.95,1872.1,1945.6,3727896.0,444.0,444.0,415.65,418.325,46653312.0
2020-05-19,661.37528152,663.50875017,636.97657089,639.54127257,43022575.09043762,1903.0,1966.45,1903.0,1948.65,3198699.0,430.425,433.65,413.05,415.325,47461122.0
2020-05-20,640.04059502,656.76789709,632.32379352,650.79872417,56243738.28835907,1950.0,1962.9,1931.7,1953.6,2778505.0,418.225,432.0,416.1,428.55,40014826.0
2020-05-21,651.38883252,663.39526779,646.84953752,654.22589189,39823796.42554818,1946.0,1998.0,1941.15,1991.2,3400925.0,430.725,442.0,426.15,429.775,48479366.0
2020-05-22,659.01484812,661.82921102,647.53043177,649.82277574,38460824.86281734,1977.1,2032.0,1961.25,2020.35,3663422.0,425.0,435.15,416.525,419.425,42051698.0
